DATE,COLCCUSMA02STM
1979-11-01,43.383799999
1979-12-01,43.792599999
1980-01-01,44.163599999
1980-02-01,44.680999999
1980-03-01,45.323499999
1980-04-01,45.824499999
1980-05-01,46.437999999
1980-06-01,47.104199999
1980-07-01,47.521699999
1980-08-01,48.024699999
1980-09-01,48.559099999
1980-10-01,49.228699999
1980-11-01,49.929999999
1980-12-01,50.5647
1981-01-01,51.082499999
1981-02-01,51.709999999
1981-03-01,52.239499999
1981-04-01,52.714499999
1981-05-01,53.239499999
1981-06-01,53.904399999
1981-07-01,54.572299999
1981-08-01,55.302499999
1981-09-01,56.030899999
1981-10-01,56.790999999
1981-11-01,57.660999999
1981-12-01,58.638499999
1982-01-01,59.498399999
1982-02-01,60.239499999
1982-03-01,60.993199999
1982-04-01,61.815499999
1982-05-01,62.625999999
1982-06-01,63.515599999
1982-07-01,64.251899999
1982-08-01,65.178199999
1982-09-01,65.981399999
1982-10-01,66.986499999
1982-11-01,68.3415
1982-12-01,69.588899999
1983-01-01,70.8645
1983-02-01,72.061999999
1983-03-01,73.474999999
1983-04-01,74.889999999
1983-05-01,76.3643
1983-06-01,77.7821
1983-07-01,79.2175
1983-08-01,80.879999999
1983-09-01,82.517699999
1983-10-01,84.262
1983-11-01,86.106
1983-12-01,87.8305
1984-01-01,89.789499999
1984-02-01,91.5738
1984-03-01,93.463299999
1984-04-01,95.421099999
1984-05-01,97.4582
1984-06-01,99.399
1984-07-01,101.73
1984-08-01,103.73
1984-09-01,105.925999999
1984-10-01,108.133
1984-11-01,110.425999999
1984-12-01,112.757
1985-01-01,115.169999999
1985-02-01,118.25
1985-03-01,123.151999999
1985-04-01,129.618999999
1985-05-01,135.947
1985-06-01,140.725
1985-07-01,145.509
1985-08-01,150.034
1985-09-01,155.3
1985-10-01,160.264
1985-11-01,164.58
1985-12-01,169.19
1986-01-01,173.696
1986-02-01,176.595
1986-03-01,179.741
1986-04-01,184.432
1986-05-01,188.535
1986-06-01,192.353
1986-07-01,195.795
1986-08-01,199.165
1986-09-01,203.237
1986-10-01,208.052
1986-11-01,212.562
1986-12-01,216.974
1987-01-01,221.03
1987-02-01,224.823
1987-03-01,229.021
1987-04-01,233.17
1987-05-01,237.444
1987-06-01,241.387
1987-07-01,245.55
1987-08-01,249.354
1987-09-01,252.842
1987-10-01,255.851
1987-11-01,258.741
1987-12-01,262.077
1988-01-01,265.821
1988-02-01,270.912
1988-03-01,276.923
1988-04-01,283.445
1988-05-01,289.958
1988-06-01,296.365
1988-07-01,302.359
1988-08-01,308.403
