DATE,CRICCUSMA02STM
1980-01-01,8.569999999
1980-02-01,8.569999999
1980-03-01,8.569999999
1980-04-01,8.569999999
1980-05-01,8.569999999
1980-06-01,8.569999999
1980-07-01,8.569999999
1980-08-01,8.569999999
1980-09-01,8.569999999
1980-10-01,8.569999999
1980-11-01,8.569999999
1980-12-01,8.57
1981-01-01,13.27
1981-02-01,14.039999999
1981-03-01,18.149999999
1981-04-01,18.809999999
1981-05-01,18.919999999
1981-06-01,18.429999999
1981-07-01,18.89
1981-08-01,18.869999999
1981-09-01,18.869999999
1981-10-01,30.439999999
1981-11-01,36.509999999
1981-12-01,35.959999999
1982-01-01,35.304999999
1982-02-01,34.934999999
1982-03-01,35.544999999
1982-04-01,35.969999999
1982-05-01,36.199999999
1982-06-01,36.199999999
1982-07-01,36.199999999
1982-08-01,38.099999999
1982-09-01,40.0
1982-10-01,40.074999999
1982-11-01,40.149999999
1982-12-01,40.199999999
1983-01-01,40.249999999
1983-02-01,40.249999999
1983-03-01,40.249999999
1983-04-01,40.249999999
1983-05-01,40.249999999
1983-06-01,40.389999999
1983-07-01,41.249999999
1983-08-01,41.249999999
1983-09-01,41.319999999
1983-10-01,41.499999999
1983-11-01,42.769999999
1983-12-01,43.399999999
1984-01-01,43.399999999
1984-02-01,43.399999999
1984-03-01,43.399999999
1984-04-01,43.399999999
1984-05-01,43.42
1984-06-01,43.77
1984-07-01,44.0
1984-08-01,44.0
1984-09-01,44.7
1984-10-01,45.4022
1984-11-01,47.75
1984-12-01,47.75
1985-01-01,47.76
1985-02-01,48.42
1985-03-01,48.7086
1985-04-01,49.08
1985-05-01,49.3516
1985-06-01,50.05
1985-07-01,50.68
1985-08-01,51.29
1985-09-01,51.84
1985-10-01,52.33
1985-11-01,52.81
1985-12-01,53.12
1986-01-01,53.7
1986-02-01,53.89
1986-03-01,54.42
1986-04-01,54.85
1986-05-01,55.26
1986-06-01,55.75
1986-07-01,56.22
1986-08-01,56.549
1986-09-01,57.1
1986-10-01,57.4975
1986-11-01,57.995
1986-12-01,58.5992
1987-01-01,58.9718
1987-02-01,59.3339
1987-03-01,59.8927
1987-04-01,60.7117
1987-05-01,61.2831
1987-06-01,62.025
1987-07-01,62.6056
1987-08-01,63.2766
1987-09-01,64.3083
1987-10-01,65.5629
1987-11-01,66.8833
1987-12-01,68.4595
1988-01-01,71.1568
1988-02-01,73.4931
1988-03-01,73.7193
1988-04-01,74.1816
1988-05-01,74.8435
1988-06-01,75.587
1988-07-01,76.1821
1988-08-01,76.758
1988-09-01,77.4566
1988-10-01,78.1419
1988-11-01,78.795
1988-12-01,79.3419
1989-01-01,79.5968
1989-02-01,79.8642
1989-03-01,80.1677
1989-04-01,80.435
1989-05-01,80.7533
1989-06-01,81.04
1989-07-01,81.4726
1989-08-01,81.9177
1989-09-01,82.345
1989-10-01,82.9774
1989-11-01,83.455
1989-12-01,84.0258
1990-01-01,84.6893
1990-02-01,85.175
1990-03-01,85.9129
1990-04-01,86.65
1990-05-01,88.0153
1990-06-01,89.66
1990-07-01,91.425
1990-08-01,92.9507
1990-09-01,95.2625
1990-10-01,97.24
1990-11-01,99.6318
1990-12-01,102.339
1991-01-01,105.825
1991-02-01,109.541
